Key,Type,Desc,English,Russian,Chinese (Taiwan),Chinese (PRC),French,German,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese (Brazil),Portuguese (Portugal),Spanish (Spain),Spanish (Latin Americas),Thai,Turkish,Vietnamese
ADS_WINDOW_CAPTION,Text,,"Tired of ads? Disable them forever, now!","Устали от рекламы? Вы можете ее отключить, навсегда!",不想再看見廣告了嗎？立即永久關閉它們！,广告看腻了？立即永久关闭它们！,Marre des pubs ? Désactivez-les définitivement !,Hast du die Werbungen satt? Dann deaktiviere sie jetzt für immer!,"Bosan dengan iklan? Nonaktifkan selamanya, sekarang!","Stanco degli spot? Disattivali per sempre, adesso!",広告にうんざりですか？今すぐ非表示にしましょう！,광고가 지겨우시다고요? 영원히 없애보세요!,"Bosan dengan iklan? Nyahaktifkan mereka selama-lamanya, sekarang!","Masz dość reklam? Wyłącz je na zawsze, już teraz!",Cansou de anúncios? Desative-os para sempre agora mesmo!,Os anúncios já chateiam? Desativa-os para sempre!,¿Demasiados anuncios? ¡Elimínalos para siempre!,¿No quieres ver comerciales? ¡Elimínalos!,เบื่อโฆษณาแล้วใช่ไหม? คุณสามารถปิดโฆษณาตลอดไปได้ทันที+,"Reklamlardan bıktın mı? Onlardan sonsuza dek kurtul, hemen!","Mệt mỏi vì quảng cáo? Hãy tắt chúng mãi mãi, ngay bây giờ!"
BIG_CUBE_WINDOW_CAPTION,Text,,Cube created:,Куб создан:,創造的方塊：,创造的方块：,Cube créé :,Würfel erstellt:,Kubus dibuat:,Cubo creato:,作ったキューブの数:,생성한 큐브:,Kiub dibuat:,Stworzony sześcian:,Cubo criado:,Cubo criado:,Cubo creado:,Cubo creado:,ลูกบาศก์ที่สร้าง:,Oluşturulan küp:,Đã tạo khối:
BIG_CUBE_WINDOW_GRATS_1,Text,,Fantastic! Now try to get 4096!,Отлично! Теперь попробуй сделать 4096!,太好了！現在嘗試取得 4096！,太棒了！现在试着得到4096吧！,"Super ! Maintenant, tentez le 4096 !",Fantastisch! Versuche jetzt 4096 zu erhalten!,Fantastis! Sekarang coba untuk mendapatkan 4096!,Fantastico! Ora prova ad arrivare a 4096!,お見事！次は4096にトライ！,환상적이네요! 그럼 이제 4096을 만들어보세요!,Hebat! Sekarang cuba dapatkan 4096!,Fantastycznie! Teraz spróbuj zdobyć 4096!,Fantástico! Agora tente atingir 4096!,Fantástico! Agora tenta obter um 4096!,¡Fantástico! ¡Ahora intenta llegar a 4096!,¡Qué bueno! ¡Ahora intenta conseguir 4096!,ยอดมาก! ลองทำให้ได้ 4096 สิ!,Harika! 4096 yapmaya çalış!,Quá tuyệt! Giờ hãy cố gắng có 4096!
BIG_CUBE_WINDOW_GRATS_2,Text,,Wowza! How about 8192?,Да ладно? А сможешь 8192?,哇！那 8192 呢？,哇塞！那8192你能得到吗？,"Bravo ! 8192, vous y arrivez ?",Wow! Wie wäre es mit 8192?,Wow! Bagaimana dengan 8192?,Wow! Che ne dici di raggiungere 8192?,ワオ！8192はどうかな？,와우! 그럼 8192는 어떠세요?,Wowza! Bagaimana dengan 8192?,O rety! A co powiesz na 8192?,Que é isso! Será que consegue 8192?,"Uau! E um 8192, consegues?",¡Increíble! ¿Te atreves con 8192?,¡Increíble! ¿Puedes llegar a 8192?,ว้าว! แล้ว 8192 ล่ะได้มั้ย?,Süper! 8192 yapabilir misin?,Wowza! 8192 thì sao?
BIG_CUBE_WINDOW_GRATS_3,Text,,"You don’t give up, do you? You'll never make 16384, though!",А ты упрямый! 16к тебе точно не достичь.,你真是鍥而不捨，不過你可別想取得 16384！,你可真执着！不过不信你能得到16384！,"Vous ne lâchez pas le morceau, hein ? Mais 16384, pas moyen !","Du gibst nicht auf, was? Aber 16384 wirst du nie erreichen!",Kamu tidak menyerah kan? Kamu tidak akan pernah bisa mendapatkan 16384!,"Non ti arrendi, eh? Ma non arriverai mai a 16384!",諦める気はゼロだね。でも16384は絶対に無理だよ！,포기하지 않으실 거죠? 지금 포기하면 16384를 만들 수 없어요!,"Anda tidak berputus asa, kan? Walaupun anda tidak akan berjaya menghasilkan 16384!","Nie poddajesz się, prawda? Ale nigdy nie dotrzesz do 16384!","Você não desiste, né? Mas você nunca vai cosneguir 16384!",És mesmo persistente! Mas nunca conseguirás um 16384!,"Tú nunca te rindes, ¿eh? No llegarás a 16 384 ni en sueños.","Nunca te rindes, ¿cierto? ¡Pero jamás llegarás a 16 384!",ยังไม่ยอมแพ้สินะ? ยังไงก็คงไม่มีทางถึง 16384 หรอกน่า!,Pes etmeyeceksin her halde. Ama 16384'ü asla yapamaszın!,"Bạn không bỏ cuộc, phải không? Tuy nhiên, bạn sẽ không bao giờ có được 16384!"
BIG_CUBE_WINDOW_GRATS_4,Text,,Congratulations! Only 1% of people can get this far!,"Полегче, ты же не хочешь собрать 32к?",恭喜！只有 1% 的人能夠走到這裡！,恭喜你！只有1%的人能进行到这里！,Bravo ! Seulement 1 % des joueurs arrivent jusqu'ici !,Glückwunsch! Nur 1 % aller Spieler kommen so weit!,Selamat! Hanya 1% orang yang bisa mencapai sejauh ini!,Complimenti! Solo l'1% dei giocatori arriva fino qui!,おめでとう！ここまで来れるのは上位1%だけ！,축하해요! 단 1%만이 여기까지 올 수 있어요!,Tahniah! Hanya 1% orang yang dapat mencapai tahap ini!,Gratulacje! Tylko 1% ludzi potrafi dotrzeć tak daleko!,Parabéns! Apenas 1% das pessoas chegam até aqui!,Parabéns! Apenas 1% dos jogadores chega até aqui!,¡Enhorabuena! Solo un 1 % de la gente llega tan lejos.,¡Felicitaciones! Solo el 1 % de la gente llega hasta aquí.,ยินดีด้วย! มีคนเพียง 1% เท่านั้นที่มาไกลถึงขนาดนี้!,Tebrikler! İnsanların sadece yüzde 1'i bu kadar ilerleyebiliyor!,Xin chúc mừng! Chỉ có 1% người chơi đi được xa đến thế này!
BIG_CUBE_WINDOW_GRATS_5,Text,,You are my new hero!,Теперь ты мой новый герой!,你是我的新英雄！,你是我的新英雄！,Vous êtes mon nouveau héros !,Du bist mein neuer Held!,Kamu adalah hero!,Sei nell'Olimpo!,新しいヒーローの誕生だ！,"오, 나의 새로운 영웅이여!",Anda adalah wira baru saya!,Co za popis umiejętności!,Você é meu novo herói!,És mesmo incrível!,¡Eres de lo que no hay!,¡Eres muy profesional!,คุณคือฮีโร่คนใหม่ของฉัน,Kahramanım benim!,Bạn là anh hùng mới của tôi!
BIG_CUBE_WINDOW_GRATS_6,Text,,Are you sure you’re not cheating?,А ты точно не читер?,你確定你沒有作弊嗎？,你确定你没作弊吗？,"Vous ne trichez pas, quand même ?","Bist du sicher, dass du nicht betrügst?",Kamu yakin kamu tidak curang?,"Non starai mica barando, vero?",本当にズルしてない？,속임수를 쓴 건 아니겠죠?,Adakah anda pasti tidak menipu?,Na pewno nie oszukujesz?,"Você não está trapaceando não, né?",Será que andas a fazer batota?,¿Seguro que no estás haciendo trampas?,"No estás haciendo trampas, ¿verdad?",แน่ใจใช่ไหมว่าไม่ได้โกง?,Hile yapmıyorsun değil mi?,Bạn có chắc là không chơi ăn gian không vậy?
BIG_CUBE_WINDOW_GRATS_7,Text,,Impossible! Are you a robot?,"Может быть, за тебя играет робот?",怎麼可能！難道你是機器人？,怎么可能！难道你是机器人？,Impossible ! Vous êtes un robot ?,Unmöglich! Bist du ein Roboter?,Tidak mungkin! Apakah kamu robot?,Impossibile! Ma sei un robot?,インポッシブル！あなたロボットですか？,말도 안 돼! 혹시 로봇이세요?,Mustahil! Adakah anda robot?,Niemożliwe! Jesteś robotem?,Impossível! Você é um robô?,Inacreditável! És um robô?,¡Imposible! No serás un robot...,¡Imposible! ¿Es que eres un robot?,เป็นไปไม่ได้! คุณเป็นหุ่นยนต์รึเปล่าเนี่ย?,İnanılmaz! Robot falan mısın sen!,Không thể nào! Bạn là robot hả?
BIG_CUBE_WINDOW_GRATS_8,Text,,Congratulations! Only 1% of players can achieve this!,Поздравляем! Только 1 процент игроков получает этот куб,恭喜！只有 1% 的玩家能取得這樣的成就！,恭喜你！只有1%的人能取得这项成就！,Bravo ! Seulement 1 % des joueurs en sont capables !,Glückwunsch! Nur 1 % aller Spieler schaffen das!,Selamat! Hanya 1% pemain yang bisa mencapai ini!,Complimenti! Solo l'1% dei giocatori raggiunge questo risultato!,おめでとう！ここまで達成できるのは上位1%だけ！,축하해요! 단 1%만이 이룰 수 있어요!,Tahniah! Hanya 1% pemain yang dapat mencapainya!,Gratulacje! Tylko 1% graczy potrafi to osiągnąć!,Parabéns! Apenas 1% dos jogadores conseguem fazer isso!,Parabéns! Apenas 1% dos jogadores conseguem tal feito!,¡Enhorabuena! Solo un 1 % de la gente lo consigue.,¡Felicitaciones! Solo el 1 % de la gente lo consigue.,ยินดีด้วย! มีคนเพียง 1% เท่านั้นที่มาถึงจุดนี้ได้!,Tebrikler! Sadece yüzde 1 oyuncu bunu başarabiliyor!,Xin chúc mừng! Chỉ 1% người chơi có thể đạt được mốc này!
BIG_CUBE_WINDOW_GRATS_MAX,Text,,You've collapsed two max cubes!,Ты соединил два максимальных куба!,你清除了兩個最大的方塊！,你清楚了最大的两个方块！,Vous avez fait disparaître deux cubes max !,Du hast zwei maximierte Würfel einstürzen lassen!,Kamu telah menciutkan dua kubus maks!,Hai fatto crollare due cubi XL!,2個の最大数キューブをつぶしたよ！,최대 큐브 두 개를 쓰러뜨렸습니다!,Anda telah runtuh dua kuib maksimum!,Udało ci się zburzyć dwa maksymalne sześciany!,Você juntou dois cubos máximos!,Juntaste dois cubos máximos!,¡Has aplastado dos cubos máximos!,¡Aplastaste dos cubos máximos!,คุณรวมลูกบาศก์ค่าสูงสุดได้สองลูกแล้ว!,İki maks küp çökerttin!,Bạn đã làm đổ hai khối tối đa!
BIG_CUBE_WINDOW_OK_BUTTON,Text,,Great!,Отлично!,太好了！,太厉害了！,Génial !,Großartig!,Luar biasa!,Splendido!,すばらしい！,훌륭해요!,Hebat!,Świetnie!,Ótimo!,Ótimo!,¡Genial!,¡Qué bueno!,ยอดมาก!,Muhteşem!,Tuyệt!
CUBE_COLLAPSED_WINDOW_CAPTION,Text,,Cube created:,Куб создан:,創造的方塊：,创造的方块：,Cube créé :,Würfel erstellt:,Kubus dibuat:,Cubo creato:,作ったキューブの数:,생성한 큐브:,Kiub dibuat:,Stworzony sześcian:,Cubo criado:,Cubo criado:,Cubo creado:,Cubo creado:,ลูกบาศก์ที่สร้าง:,Oluşturulan küp:,Đã tạo khối:
CUBE_COLLAPSED_WINDOW_REWARD,Text,,Your reward:,Ваша награда:,你的獎勵：,你的奖励：,Votre bonus :,Deine Belohnung:,Hadiahmu:,La tua ricompensa:,報酬:,보상:,Ganjaran anda:,Twoja nagroda:,Sua recompensa:,Recompensa:,Recompensa:,Recompensa:,รางวัลของคุณ:,Ödülün:,Phần thưởng của bạn:
CUBE_COLLAPSED_WINDOW_REWARD_BUTTON,Text,,Claim,Получи,領取,领取,Obtenir,Nehmen,Klaim,Richiedi,受け取る:,수령,Tuntut,Odbierz,Resgatar,Obter,Recibir,Recibir,รับ,Al,Nhận
CUBE_COLLAPSED_WINDOW_SKIP_AD_BUTTON,Text,,"No, thanks","Нет, спасибо",不用了，謝謝,不用了，谢谢,Non merci,"Nein, danke","Tidak, terima kasih","No, grazie",視聴しない,"아뇨, 괜찮아요",Tidak mengapa,"Nie, dziękuję","Não, valeu","Não, obrigado","No, gracias","No, gracias",ไม่ล่ะ ขอบคุณ,"Hayır, teşekkürler","Không, cảm ơn"
